id_solicitud,fecha_solicitud,sucursal,tipo_credito,monto_solicitado,plazo_meses,ingresos_mensuales,antiguedad_laboral,nivel_educativo,estado_civil,numero_dependientes,tiene_otros_creditos,resultado
SOL-02376,2025-02-15,Cali,Libre inversion,18300000,12,3560000,0,Profesional,Soltero,1,0,Rechazado
SOL-01306,2024-10-01,Bogota,Vehiculo,43800000,36,2830000,0,Posgrado,Soltero,2,no,Rechazado
SOL-02383,15/07/2024,barranquilla,Vehiculo,27500000,60,7320000,10,Bachiller,SOLTERO,2,0,En estudio
SOL-00485,16/04/2025,pereira,Educacion,7900000,24,5950000,1,PROFESIONAL,Casado,0,No,Rechazado
SOL-01807,2024-10-14,Bogota,Vivienda,247800000,240,3450000,1,BACHILLER,CASADO,1,No,Rechazado
SOL-01885,2024-06-26,Bogota,Libre inversion,18900000,48,4820000,2,bachiller,Divorciado,2,No,Rechazado
SOL-01756,22/02/2025,CALI,Libre inversion,14200000,36,7050000,7,Bachiller,Soltero,0,No,rechazado
SOL-00741,2025-04-27,Pereira,Vivienda,243700000,180,12630000,17,Bach.,CASADO,2,No,Aprobado
SOL-00650,2024-10-10,Medellín,Libre inversion,9700000,36,4270000,5,Profesional,Casado,0,Si,Aprobado
SOL-01864,2025-01-19,Cartagena,Libre inversion,19700000,12,2550000, ,Posgrado,Unión libre,3,Si,En estudio
SOL-02892,2024-12-15,Medellin,Vivienda,218000000,120,1800000,1,Bachiller,Soltero,1,No,En estudio
SOL-02052,23/04/2024,barranquilla,Educacion,14300000,24,6560000,2,Profesional,casado,1,No,Aprobado
SOL-00570,2025-04-30,Medellín,Educacion,9500000,12,2380000,3,Bachiller,Union libre,1,Si,Rechazado
SOL-01433,2025-06-01,Cartagena,Libre inversion,18500000,36,1800000,7,Bachiller,SOLTERO,2,No,En estudio
SOL-01492,2024-10-11,Bogota,Libre inversion,24400000,48,4160000,1,Bachiller,Casado,0,No,En estudio
SOL-00518,2025-06-17,BARRANQUILLA,Libre inversion,19300000,24,$4.150.000,11,Tecnico,Soltero,2,SI,Rechazado
SOL-01166,30/03/2024,bogota,Educacion,16700000,12,1800000,0,profesional,Union libre,0,No,APROBADO
SOL-01778,28/01/2025,Bogotá,Libre inversion,23300000,24,3350000,4,Tecnico,SOLTERO,1,No,aprobado
SOL-01899,03/08/2024,medellin,Libre inversion,16800000,24,3200000,11,Tecnico,Union libre,,Si,EN ESTUDIO
SOL-00994,2024-11-14,Pereira,Vivienda,247900000,120,$4.100.000,3,Profesional,Union libre,1,No,Aprobado
SOL-02261,2025-01-28,pereira,Educacion,13100000,36,$3.020.000,9,Prof.,Soltero,3,Si,aprobado
SOL-00193,08/02/2024,Bogota,Vivienda,87300000,120,2250000,4,Profesional,Union libre,0,No,Aprobado
SOL-01040,2024-03-04,cartagena,Libre inversion,16500000,12,3080000,5,Bachiller,Unión libre,2,Si,aprobado
SOL-00946,2024-04-16,Medellin,Vehiculo,22600000,48,2820000,8,Posgrado,Soltero,0,Si,En estudio
SOL-02642,2024-07-08,Bogotá,Vivienda,85500000,180,2.800.000,1,Profesional,divorciado,0,SI,Aprobado
SOL-02729,2024-02-13,Medellin,Vivienda,191500000,180,1800000,0,Posgrado,CASADO,1,NO,Aprobado
SOL-00073,2025-03-10,Bogota,Libre inversion,13100000,48,4440000,6,Posgrado,Divorciado,2,Sí,Aprobado
SOL-01209,24/01/2024,Bogota,Vivienda,235900000,240,3610000,1,profesional,Soltero,0,0,Aprobado
SOL-00090,2024-05-04,Bucaramanga,Vehiculo,58800000,36,3290000,3,Profesional,soltero,0,No,EN ESTUDIO
SOL-02752,2025-03-24,PEREIRA,Vehiculo,20200000,48,3320000,3,Posgrado,Union libre,0,No,En estudio
SOL-00018,23/12/2024,Medellin,Educacion,16800000,12,$ 2350000,4,Posgrado,Casado,4,No,Aprobado
SOL-02009,21/09/2024,Bogotá,Educacion,13700000,24,1800000,17,Bach.,Union libre,3,si,En estudio
SOL-00665,2024-06-20,Barranquilla,Libre inversion,24100000,48,4930000,8,Profesional,Union libre,4,Si,En estudio
SOL-01662,2025-06-04,MEDELLIN,Libre inversion,11600000,24,$ 3940000,8,Bach.,Union libre,2,No,Aprobado
SOL-02372,2024-07-22,Cali,Vivienda,198000000,180,4730000,2,Profesional,Casado,4,0,En estudio
SOL-00116,2024-08-15,Barranquilla,Vehiculo,42000000,48,3810000,8,Tecnico,DIVORCIADO,0,No,Rechazado
SOL-01484,2024-07-22,CALI,Vivienda,244900000,240,5080000,2,Bach.,Soltero,0,Si,En estudio
SOL-01727,23/05/2024,Medellín,Vehiculo,33400000,36,1.800.000,6,Postgrado,Soltero,2,Si,aprobado
SOL-02619,2024-12-25,Cartagena,Libre inversion,20200000,36,1800000,12,Prof.,soltero,1,No,En estudio
SOL-02083,2024-01-17,MEDELLIN,Libre inversion,18600000,12,$ 5610000,2,Bach.,Soltero,N/A,NO,Aprobado
SOL-00263,2025-05-21,Cartagena,Vehiculo,32600000,48,3820000,14,PROFESIONAL,Casado,3,Si,APROBADO
SOL-00525,2024-05-06,BARRANQUILLA,Libre inversion,13100000,48,2.590.000,3,Profesional,Soltero,1,SI,Aprobado
SOL-02169,26/03/2024,Bogota,Vivienda,171700000,180,$ 1800000,3,Prof.,Casado,0,No,RECHAZADO
SOL-00738,2025-06-27,Bogota,Vehiculo,27700000,48,4230000,7,,Divorciado,2,No,Aprobado
SOL-01382,2024-02-13,Barranquilla,Vivienda,109400000,180,3.510.000,10,posgrado,Unión libre,2,Si,Aprobado
SOL-00718,05/06/2024,Bucaramanga,Educacion,15900000,12,1800000,2,PROFESIONAL,CASADO,1,No,Rechazado
SOL-00299,21/02/2025,Bogotá,Vivienda,93300000,60,1860000,1,Posgrado,Union libre,1,no,En estudio
SOL-02473,2024-11-04,Barranquilla,Libre inversion,12700000,24,2890000,6,Bachiller,casado,2,NO,APROBADO
SOL-01852,07/01/2025,Medellin,Libre inversion,14000000,24,2950000,9,Bachiller,divorciado,3,Si,Rechazado
SOL-01451,2025-02-15,CARTAGENA,Libre inversion,22500000,48,1.800.000,2,Tecnico,SOLTERO,0,No,En estudio
SOL-01257,2024-02-11,Medellin,Libre inversion,9900000,36,7120000,0,Bachiller,Soltero,2,Si,Aprobado
SOL-00513,2024-01-24,Bogota,Educacion,7100000,24,$7.810.000,2,profesional,Union libre,0,No,aprobado
SOL-00038,01/06/2024,Cali,Educacion,5200000,24,5540000,2,Posgrado,Casado,2,NO,Rechazado
SOL-02431,2025-01-21,Bogota,Vehiculo,45900000,60,5180000,0,Bachiller,Divorciado,1,No,En estudio
SOL-02497,2024-05-01,Bogota,Vivienda,236200000,60,$4.730.000,3,profesional,Soltero,,Si,Aprobado
SOL-01181,2024-02-16,Bogotá D.C.,Vivienda,94700000,120,9.860.000,9,Profesional,Divorciado,1,si,Aprobado
SOL-00399,2025-06-28,Bucaramanga,Vehiculo,36500000,24,2050000,5,Prof.,Soltero,1,0,Rechazado
SOL-01465,2024-07-15,barranquilla,Vehiculo,21500000,24,2960000,4,Posgrado,soltero,2,No,Aprobado
SOL-01287,2025-02-20,PEREIRA,Libre inversion,12300000,36,2600000,4,Tecnico,Union libre,1,Si,Aprobado
SOL-01207,2025-04-08,Bucaramanga,Libre inversion,15200000,24,11070000,3,Prof.,Union libre,0,No,En estudio
SOL-01848,2025-05-10,cali,Educacion,4300000,12,4040000,1,Bach.,soltero,1,no,aprobado
SOL-01316,2025-05-16,Bogota,Vivienda,126300000,60,$ 3170000,1,Bachiller,Union libre,1,Si,aprobado
SOL-02973,2024-05-25,Cartagena,Libre inversion,14300000,48,2930000,1,Tecnico,casado,0,Si,aprobado
SOL-02343,2024-11-15,Barranquilla,Educacion,3200000,12,$3.910.000,13,TECNICO,Union libre,1,0,Aprobado
SOL-00396,2024-04-07,CARTAGENA,Libre inversion,23400000,48,4890000,2,Bachiller,Union libre,0,No,Aprobado
SOL-00095,08/12/2024,cartagena,Educacion,17000000,36,3760000,1,TECNICO,Soltero,0,No,Aprobado
SOL-02557,31/01/2025,Medellin,Libre inversion,10400000,48,1800000,11,Bachiller,Unión libre,2,SI,Aprobado
SOL-00717,2024-07-05,Bucaramanga,Vehiculo,59300000,48,2740000,2,Prof.,Union libre,2,No,Aprobado
SOL-01082,12/11/2024,Bogota,Vehiculo,42100000,24,4750000,3,Bachiller,Divorciado,0,No,Aprobado
SOL-02689,2024-04-27,Bogota,Educacion,14800000,36,$2.470.000,19,Prof.,Divorciado,0,Sí,Rechazado
SOL-00948,2025-04-24,bogota,Vivienda,151100000,240,3830000,7,Bachiller,Union libre,1,Sí,Aprobado
SOL-01277,23/11/2024,Cartagena,Educacion,13300000,24,2100000,1,Profesional,DIVORCIADO,1,0,Rechazado
SOL-00896,30/04/2024,Bogota,Vehiculo,39300000,60,2610000,9,Profesional,Casado,4,Si,Aprobado
SOL-02667,2024-10-22,PEREIRA,Libre inversion,19700000,48,9.340.000,2,Bach.,Casado,2,Si,Aprobado
SOL-01037,13/05/2025,Medellín,Libre inversion,23500000,12,3040000,1,profesional,SOLTERO,2,Si,Aprobado
SOL-01553,2025-04-16,Medellín,Educacion,6700000,24,2750000,3,Profesional,Soltero,2,No,Aprobado
SOL-00197,2025-06-25,cartagena,Vivienda,123200000,180,3760000,4,Tecnico,Union libre,2,No,aprobado
SOL-00408,2025-02-11,Cali,Libre inversion,18500000,24,2200000,6,bachiller,Union libre,2,Si,Aprobado
SOL-00662,18/06/2024,Bogota,Libre inversion,24900000,24,$ 5630000,2,Profesional,Divorciado,1,Si,Aprobado
SOL-00579,19/01/2025,Pereira,Libre inversion,18000000,48,10600000,1,Posgrado,soltero,0,si,EN ESTUDIO
SOL-01396,20/10/2024,Barranquilla,Vehiculo,24600000,36,8660000,2,Profesional,SOLTERO,1,Si,Aprobado
SOL-02686,26/07/2024,BOGOTA,Vehiculo,23500000,60,2350000,0,Tecnico,Soltero,2,si,Rechazado
SOL-02325,2024-03-18,Bogota,Libre inversion,21100000,12,2890000,18,Postgrado,Casado,1,No,Aprobado
SOL-00318,2024-04-10,Pereira,Vehiculo,58100000,36,4390000,2,Bachiller,Casado,0,Si,Aprobado
SOL-02229,2024-09-08,Medellín,Vehiculo,37300000,36,8180000,5,Profesional,Soltero,1,Si,Rechazado
SOL-02829,2025-01-24,CALI,Vehiculo,37900000,48,5.050.000,8,Profesional,soltero,1,No,Rechazado
SOL-01623,22/11/2024,cali,Libre inversion,21000000,24,6020000,2,Tecnico,divorciado,0,Sí,Aprobado
SOL-02246,2025-05-19,Bogota,Vivienda,213200000,120,3340000,N/A,Tecnico,SOLTERO,2,NO,APROBADO
SOL-01650,2024-01-28,Cartagena,Libre inversion,13600000,24,1800000,4,Tec.,Soltero,2,no,aprobado
SOL-01321,2025-01-12,Pereira,Libre inversion,9700000,12,4080000,1,Técnico,Casado,0,Si,Aprobado
SOL-02803,09/05/2024,Barranquilla,Vivienda,123100000,120,4250000,6,TECNICO,Union libre,2,0,Rechazado
SOL-00545,2024-10-04,cali,Vivienda,117100000,60,1800000,3,Posgrado,Union libre,1,Si,Rechazado
SOL-02970,2024-08-22,Barranquilla,Vehiculo,36900000,60,5430000,10,Tecnico,Soltero,0,No,Aprobado
SOL-00839,2024-07-14,Medellín,Vehiculo,32300000,24,1800000,11,Posgrado,Soltero,1,No,aprobado
SOL-02600,08/06/2025,Cartagena,Vivienda,127500000,120,$ 4570000,2,Profesional,Casado,1,No,En estudio
SOL-00547,26/02/2025,Barranquilla,Libre inversion,14000000,24,3520000,4,TECNICO,Union libre,2,No,Aprobado
SOL-01276,21/01/2025,Barranquilla,Libre inversion,22200000,12,3680000,1,TECNICO,Soltero,0,1,Aprobado
SOL-01998,2024-05-21,Cali,Vehiculo,29800000,36,3630000,3,Posgrado,Casado,2,Si,Aprobado
SOL-01229,13/03/2025,Bogota,Vivienda,114200000,180,2810000,1,Tecnico,Casado,4,No,Aprobado
SOL-01437,18/03/2025,Cartagena,Vivienda,209800000,60,6050000,1,Tecnico,CASADO,2,Si,Aprobado
SOL-02695,2024-10-26,Cali,Libre inversion,21500000,24,5080000,6,Profesional,Casado,2,No,Aprobado
SOL-02711,2025-05-09,Pereira,Libre inversion,19700000,36,6100000,2,Posgrado,Soltero,2,no,En estudio
SOL-00636,2024-10-14,medellin,Libre inversion,16900000,12,2480000,3,profesional,Divorciado,1,Si,Aprobado
SOL-02374,23/06/2025,Barranquilla,Libre inversion,24400000,36,3030000,14,profesional,Soltero,1,Sí,Aprobado
SOL-00591,2025-03-16,Pereira,Vivienda,214500000,120,2150000,7,Profesional,Divorciado,2,no,Aprobado
SOL-02142,07/01/2024,Bogotá D.C.,Libre inversion,13000000,12,2390000,0,Bachiller,Casado,0,Si,Aprobado
SOL-01424,2025-06-20,Barranquilla,Libre inversion,11200000,24,2910000,5,Bachiller,Casado,1,Si,En estudio
SOL-02176,2024-06-11,Bogotá D.C.,Vivienda,189000000,180,6570000,15,Tecnico,Casado,1,Si,En estudio
SOL-00109,2025-04-13,Bogota,Vivienda,98800000,180,2490000,11,Tecnico,Casado,3,0,RECHAZADO
SOL-00719,2024-06-20,Medellin,Libre inversion,12900000,12,3060000,8,Profesional,Divorciado,0,Si,Aprobado
SOL-02327,2024-02-21,cali,Vehiculo,40000000,60,5300000,3,Tecnico,Union libre,0,No,Aprobado
SOL-02712,2025-03-04,BOGOTA,Vivienda,124600000,240,$5.190.000,3,Tecnico,Casado,2,SI,Aprobado
SOL-02566,17/02/2025,PEREIRA,Libre inversion,12800000,12,3550000,2,POSGRADO,Union libre,1,No,Aprobado
SOL-01542,23/05/2025,PEREIRA,Educacion,8700000,36,2310000,5,PROFESIONAL,Soltero,1,No,en estudio
SOL-00843,25/02/2024,Bogotá D.C.,Libre inversion,18000000,48,1800000,1,Tecnico,Union libre,2,No,APROBADO
SOL-02627,2025-04-04,Barranquilla,Educacion,11300000,12,11450000,0,Posgrado,Soltero,0,Sí,En estudio
SOL-02402,2024-08-17,Cartagena,Educacion,8400000,36,1800000,4,Posgrado,Union libre,2,0,Aprobado
SOL-00713,2024-12-12,CALI,Libre inversion,20800000,48,$ 7550000,1,Profesional,Casado,0,No,Aprobado
SOL-00288,2024-07-12,barranquilla,Educacion,8300000,24,3470000,4,Técnico,Casado,0,Si,Aprobado
SOL-01579,2024-07-17,Medellin,Vehiculo,27300000,24,2490000,0,Bachiller,Divorciado,4,Si,Rechazado
SOL-01367,20/12/2024,barranquilla,Vehiculo,48000000,24,4100000,6,PROFESIONAL,Soltero,1,No,APROBADO
SOL-01097,22/06/2025,Medellin,Vivienda,163700000,60,,1,Prof.,Union libre,0,SI,APROBADO
SOL-01734,2025-02-28,Bogotá,Educacion,8100000,24,$1.800.000,3,Profesional,Casado,0,NO,aprobado
SOL-01627,2024-06-13,Bogota,Vivienda,92100000,60,$ 1800000,4,Tecnico,Casado,1,No,Rechazado
SOL-01415,2025-01-26,Cali,Vivienda,146300000,60,2560000,6,Bachiller,Soltero,3,no,Aprobado
SOL-01551,2024-09-03,Bogota,Libre inversion,16500000,36,$3.070.000,1,Bachiller,Unión libre,1,Sí,aprobado
SOL-00745,01/06/2025,Cartagena,Libre inversion,12300000,48,2160000,8,Posgrado,Soltero,1,No,Rechazado
SOL-01182,2024-09-02,Bogota,Vehiculo,32100000,48,5360000,7,Tecnico,Divorciado,,Si,aprobado
SOL-02685,2024-09-08,CARTAGENA,Educacion,7300000,36,6140000,1,Tec.,Casado,2,Si,Rechazado
SOL-00842,04/01/2024,Cali,Vehiculo,37900000,24,$ 3220000,11,Posgrado,Soltero,1,Si,APROBADO
SOL-00201,05/02/2025,Bogota,Vivienda,198900000,240,$ 6030000,1,PROFESIONAL,Union libre,0,No,Rechazado
SOL-02446,2025-02-20,Barranquilla,Vehiculo,23300000,36,4950000,4,Tecnico,Divorciado,0,No,APROBADO
SOL-01503,2024-08-05,Bogota,Vehiculo,57700000,24,$ 3000000,7,Profesional,union libre,3,No,aprobado
SOL-02210,2025-02-21,cali,Vivienda,153100000,60,1800000,8,Bachiller,SOLTERO,1,no,En estudio
SOL-02995,2024-12-14,Bogota,Libre inversion,24900000,12,1.970.000,1,Tecnico,Casado,3,No,Aprobado
SOL-01366,2025-02-27,MEDELLIN,Libre inversion,8500000,12,1890000,1,Bachiller,Union libre,0,No,Aprobado
SOL-01427,26/04/2025,Cartagena,Libre inversion,9600000,36,5040000,8,Tecnico,Casado,1,NO,En estudio
SOL-00526,28/08/2024,Bogota,Vivienda,216600000,60,$ 1940000,0,Bachiller,Union libre,0,Si,Aprobado
SOL-01735,2025-05-01,Cartagena,Libre inversion,17000000,36,3660000, ,bachiller,divorciado,2,No,Rechazado
SOL-01696,01/08/2024,medellin,Vivienda,186800000,60,1800000,2,Profesional,Union libre,0,Si,RECHAZADO
SOL-02700,24/06/2024,bogota,Libre inversion,22800000,48,12910000,1,BACHILLER,soltero,1,No,Aprobado
SOL-00507,2024-01-05,Medellín,Vehiculo,24400000,48,6780000,1,Tecnico,Casado,0,NO,En estudio
SOL-00480,2024-08-26,bogota,Vehiculo,41800000,48,4380000,2,Profesional,Casado,2,Sí,Aprobado
SOL-00688,2024-12-20,Pereira,Vehiculo,30200000,36,5950000,1,Profesional,Soltero,0,Si,Rechazado
SOL-02290,2025-02-11,Cali,Vivienda,99600000,120,3230000,0,Bachiller,Union libre,0,Si,Aprobado
SOL-02537,14/03/2024,Bogota,Vivienda,86100000,180,3010000,3,TECNICO,Union libre,1,Si,Rechazado
SOL-00397,2025-04-11,Bogota,Vivienda,170000000,60,3750000,1,Posgrado,Divorciado,1,No,Aprobado
SOL-02221,16/12/2024,Barranquilla,Libre inversion,9600000,36,3870000,3,profesional,Union libre,3,Si,APROBADO
SOL-02312,2024-02-13,Cartagena,Vehiculo,39100000,48,2480000,2,Profesional,Casado,2,No,Rechazado
SOL-01448,28/06/2025,Medellin,Vivienda,100600000,60,3190000,2,Posgrado,Union libre,1,Si,APROBADO
SOL-00884,2024-09-15,Bucaramanga,Libre inversion,8100000,48,4000000,0,PROFESIONAL,Union libre,0,no,Aprobado
SOL-01527,2025-01-11,Bogota,Vivienda,142400000,180,1800000,1,Profesional,Casado,1,Sí,Aprobado
SOL-01303,2024-09-14,CALI,Vivienda,163500000,120,3610000,2,Posgrado,Soltero,1,si,APROBADO
SOL-00603,2024-09-16,Bogota,Libre inversion,21500000,48,3.210.000,1,BACHILLER,Soltero,1,Sí,Rechazado
SOL-00241,2025-06-23,Pereira,Libre inversion,15500000,24,3940000,1,Tecnico,Casado,0,Si,Rechazado
SOL-02749,10/07/2024,Medellin,Libre inversion,15200000,48,$4.970.000,3,Tecnico,UNION LIBRE,3,No,RECHAZADO
SOL-00449,2025-05-06,CARTAGENA,Vehiculo,33000000,36,4650000,20,bachiller,Soltero,2,1,Rechazado
SOL-01063,14/08/2024,BARRANQUILLA,Vivienda,92000000,60,1.800.000,2,tecnico,casado,0,Si,Aprobado
SOL-02671,2024-09-18,Barranquilla,Vivienda,201600000,180,9150000,1,Profesional,Casado,0,No,Rechazado
SOL-00014,2025-05-10,Medellin,Libre inversion,8900000,48,2170000,0,Profesional,Soltero,2,No,Aprobado
SOL-02981,2024-08-24,Bucaramanga,Libre inversion,12200000,36,6040000,15,PROFESIONAL,CASADO,1,No,Aprobado
SOL-02137,2024-02-26,Bogotá,Vivienda,126400000,120,3970000,5,bachiller,Casado,0,No,RECHAZADO
SOL-01058,03/06/2024,Pereira,Educacion,10300000,12,6400000,15,Tec.,Union libre,0,si,Aprobado
SOL-02730,2024-12-08,Bogota,Libre inversion,17800000,48,7390000,17,Profesional,Casado,3,No,Aprobado
SOL-01843,2025-02-06,CALI,Libre inversion,13200000,24,6150000,4,tecnico,Soltero,1,No,Aprobado
SOL-00377,2024-05-05,Bogota,Vivienda,194100000,120,2440000,,Profesional,Soltero,1,0,Aprobado
SOL-02419,2025-03-26,Bogotá D.C.,Libre inversion,18900000,36,4310000,N/A,Posgrado,UNION LIBRE,3,0,Aprobado
SOL-00264,17/01/2025,Bogota,Educacion,16100000,24,3080000,3,Profesional,Union libre,1,Si,En estudio
SOL-00616,02/08/2024,Medellin,Libre inversion,23400000,24,4750000,1,Tecnico,Casado,2,no,Aprobado
SOL-00504,2024-03-29,PEREIRA,Vivienda,170600000,240,,0,BACHILLER,Soltero,0,NO,En estudio
SOL-00058,26/08/2024,Bogota,Vehiculo,25800000,60,$5.050.000,,Tecnico,Soltero,0,No,aprobado
SOL-01515,2024-09-08,cali,Vehiculo,55100000,36,2520000,1,Técnico,Divorciado,0,si,Rechazado
SOL-02410,2024-05-01,CARTAGENA,Libre inversion,13200000,12,2320000,8,Profesional,Divorciado,0,NO,Aprobado
SOL-02843,29/05/2024,Cali,Vivienda,228100000,120,1800000,15,Postgrado,union libre,1,No,En estudio
SOL-02379,2024-08-01,Bogota,Vehiculo,41200000,36,2350000,,Profesional,casado,0,No,Rechazado
SOL-02691,2025-03-07,barranquilla,Libre inversion,14400000,48,1800000,9,Posgrado,Casado,0,1,Rechazado
SOL-00233,2024-08-18,Bogota,Vehiculo,25400000,60,1810000,1,Prof.,Casado,0,Si,En estudio
SOL-01924,2024-09-05,CARTAGENA,Vivienda,184800000,60,2870000,1,Tecnico,Casado,1,Si,aprobado
SOL-01609,15/05/2024,Medellin,Vehiculo,53900000,36,1950000,10,Tecnico,Divorciado,0,Si,Rechazado
SOL-00944,2025-01-02,Cali,Libre inversion,23100000,48,3450000,2,Profesional,CASADO,4,Si,Aprobado
SOL-01076,2024-03-02,bogota,Libre inversion,20800000,12,7030000,9,Tecnico,UNION LIBRE,2,Si,Rechazado
SOL-01172,2024-11-18,barranquilla,Vehiculo,41300000,24,1800000,0,Tecnico,Union libre,4,Si,Rechazado
SOL-02968,2024-05-20,Cartagena,Vehiculo,47600000,24,$2.720.000,7,Bachiller,Casado,2,Si,RECHAZADO
SOL-02319,2024-12-26,Bucaramanga,Vehiculo,45900000,24,2790000,10,Bachiller,SOLTERO,1,Si,Rechazado
SOL-02668,2024-12-19,Barranquilla,Educacion,3400000,36,1800000,19,profesional,Soltero,N/A,Si,Aprobado
SOL-00786,2024-11-23,BUCARAMANGA,Vivienda,82300000,120,2250000,4,Posgrado,Unión libre,2,Si,Aprobado
SOL-02796,2025-01-13,Cartagena,Vivienda,229100000,60,8190000,3,tecnico,Union libre,0,NO,Aprobado
SOL-00174,2024-09-25,BOGOTA,Vehiculo,59700000,36,2120000,1,Prof.,Casado,1,No,APROBADO
SOL-00142,2024-11-06,Bogota,Libre inversion,17400000,36,3940000,11,Posgrado,Union libre,4,Si,APROBADO
SOL-00205,2025-03-07,Cartagena,Vivienda,229300000,60,3110000,0,Posgrado,union libre,1,Si,En estudio
SOL-02051,2024-05-13,Bogota,Libre inversion,10700000,36,1800000,7,Profesional,Casado,3,No,Rechazado
SOL-01272,19/05/2025,PEREIRA,Libre inversion,19200000,12,1800000, ,Profesional,Soltero,2,Si,Rechazado
SOL-02062,27/05/2024,Bogotá,Vivienda,238300000,120,2700000,2,Profesional,soltero,1,Si,Aprobado
SOL-00940,2024-08-04,BOGOTA,Libre inversion,16400000,12,5720000,10,Bachiller,Soltero,2,NO,Aprobado
SOL-02197,2025-01-15,Barranquilla,Vehiculo,34200000,24,2540000,9,Tecnico,Soltero,2,Si,Rechazado
SOL-02353,10/06/2024,PEREIRA,Libre inversion,18000000,48,4010000,11,Tecnico,Casado,2,si,En estudio
SOL-00682,2025-05-07,Bogota,Vivienda,211600000,120,4500000,N/A,Tec.,SOLTERO,1,No,En estudio
SOL-02480,16/11/2024,Medellin,Libre inversion,24700000,48,1800000,6,PROFESIONAL,Union libre,4,No,Aprobado
SOL-02201,2024-10-06,Cali,Libre inversion,15200000,12,1.860.000,3,Tec.,SOLTERO,2,No,Aprobado
SOL-00865,2024-01-28,Bogota,Vivienda,189100000,60,$2.300.000,0,Tecnico,Union libre,0,Si,Aprobado
SOL-02757,2025-02-02,Medellin,Vehiculo,43000000,24,2.800.000,,Profesional,Soltero,2,Si,En estudio
SOL-02608,2025-05-10,BARRANQUILLA,Vehiculo,47000000,24,8940000,3,profesional,CASADO,1,No,Aprobado
SOL-02713,2024-02-13,Cali,Educacion,7400000,36,2580000,6,Profesional,Soltero,0,Si,En estudio
SOL-00790,2024-12-15,PEREIRA,Vivienda,130200000,240,4200000,35,Tecnico,Union libre,2,No,Aprobado
SOL-01145,04/03/2025,Cali,Vehiculo,57900000,48,3530000,0,Profesional,Soltero,1,si,en estudio
SOL-01459,2024-05-19,CALI,Libre inversion,14800000,48,4670000,N/A,Tecnico,Union libre,1,No,aprobado
SOL-02612,2025-06-06,CARTAGENA,Libre inversion,16200000,36,3160000,1,Profesional,Casado,3,Si,Aprobado
SOL-02217,2024-09-06,Medellin,Educacion,11700000,12,3780000,4,POSGRADO,Casado,2,No,Aprobado
SOL-01280,05/07/2024,Bogota,Vivienda,244000000,180,7830000,7,TECNICO,Casado,1,No,Aprobado
SOL-00269,06/02/2024,Bogota,Vivienda,226000000,180,1800000,1,Tecnico,Divorciado,1,No,Aprobado
SOL-01845,07/09/2024,BARRANQUILLA,Libre inversion,12600000,24,$ 2720000,1,tecnico,Soltero,1,Sí,Aprobado
SOL-01491,2024-12-14,Medellin,Libre inversion,14700000,36,2100000,4,Profesional,CASADO,2,NO,APROBADO
SOL-00512,2025-02-08,Bucaramanga,Vehiculo,59900000,48,3530000,0,Bachiller,Casado,0,NO,En estudio
SOL-00869,2024-09-01,Barranquilla,Libre inversion,9000000,36,4370000,1,Posgrado,Union libre,1,No,Aprobado
SOL-01633,2025-03-14,Bucaramanga,Vehiculo,56800000,36,8630000,2,profesional,casado,3,No,Rechazado
SOL-00101,2024-09-03,Bucaramanga,Vivienda,207800000,240,2940000,2,Profesional,Union libre,0,No,Aprobado
SOL-00013,20/01/2025,cartagena,Libre inversion,23400000,36,$2.080.000,8,Bachiller,Soltero,0,Si,Rechazado
SOL-00645,2024-06-11,BUCARAMANGA,Vehiculo,23300000,48,$4.280.000,5,Bach.,UNION LIBRE,0,No,Aprobado
SOL-01782,2024-09-03,Bogotá,Vehiculo,41200000,60,1910000, ,Bachiller,Union libre,2,No,En estudio
SOL-00779,08/11/2024,Cartagena,Libre inversion,15000000,48,5910000,0,Tecnico,casado,1,Sí,Aprobado
SOL-01507,2025-06-10,CARTAGENA,Vehiculo,40800000,24,3990000,5,Bachiller,Divorciado,0,Si,aprobado
SOL-01307,27/03/2025,Cali,Libre inversion,21400000,36,1800000,8,Bachiller,soltero,1,No,RECHAZADO
SOL-01684,2024-09-08,BOGOTA,Vehiculo,48800000,36,4170000,4,Bachiller,Casado,N/A,Si,Rechazado
SOL-01681,17/02/2025,Cali,Educacion,13700000,12,1800000,1,profesional,Union libre,1,No,Aprobado
SOL-01353,2024-09-08,Medellin,Vivienda,170000000,60,4020000,2,PROFESIONAL,Union libre,2,1,En estudio
SOL-01055,05/08/2024,barranquilla,Vehiculo,24700000,48,5650000,2,Bachiller,Soltero,1,NO,En estudio
SOL-02772,2025-04-27,Cali,Libre inversion,20800000,36,1800000,3,Bach.,divorciado,2,SI,Rechazado
SOL-02172,2024-11-24,Bogota,Libre inversion,20600000,24,2870000,12,POSGRADO,Casado,1,no,Aprobado
SOL-00021,2024-03-31,Bogota,Vehiculo,28100000,60,$2.550.000,N/A,Prof.,Divorciado,0,No,Aprobado
SOL-00750,10/06/2025,Bucaramanga,Vehiculo,56500000,24,2030000,8,Bachiller,Soltero,0,Si,Aprobado
SOL-01068,2025-06-18,BOGOTA,Vivienda,142500000,180,6680000,5,Posgrado,Divorciado,0,No,Aprobado
SOL-00118,2024-01-01,bucaramanga,Libre inversion,20000000,24,6.110.000,1,PROFESIONAL,Soltero,4,Si,rechazado
